# Reviewed block-glyph raster digests; see crates/sonicterm-block-glyph/CLAUDE.md.
# Regenerate only for a named geometry change:
#   SONICTERM_BLESS_BLOCK_GLYPH=1 cargo test -p sonicterm-block-glyph raster_digests
# Bless rewrites this file and fails; review the diff, then rerun without the variable.
# alpha_sum: sum of every texel's alpha. ink_bbox: inclusive x0,y0,x1,y1 of nonzero alpha.
# fnv1a64: FNV-1a 64 over width and height (u32 LE), then row-major alpha.
# codepoint	cell_w	cell_h	underline	alpha_sum	ink_bbox	fnv1a64
U+2500	5	9	1	1275	0,4,4,4	c81cf47ea2b8315e
U+2500	8	16	1	2040	0,7,7,7	c619cafc269f7035
U+2500	15	31	2	7650	0,14,14,16	a073304370688f0d
U+2500	16	32	2	8160	0,14,15,16	30cbfd644ad8acd5
U+2500	30	40	2	15300	0,18,29,20	a27301cd4427e3d7
U+2500	45	60	3	34425	0,28,44,30	6bb0a60eb313b281
U+2501	5	9	1	3825	0,3,4,5	9666c86f4c01936a
U+2501	8	16	1	6120	0,6,7,8	ad4f73734061b525
U+2501	15	31	2	22950	0,12,14,18	5a1d35c7a8f46869
U+2501	16	32	2	24480	0,12,15,18	69743ba22fb9de95
U+2501	30	40	2	45900	0,16,29,22	cd8f72df9ce2771f
U+2501	45	60	3	103275	0,25,44,33	f9bf1d4878890d9d
U+2502	5	9	1	2295	2,0,2,8	d2326ec4520b1182
U+2502	8	16	1	4080	3,0,3,15	2de45f3d0fbe4ebd
U+2502	15	31	2	15841	6,0,8,30	c7b58c1a29bf392e
U+2502	16	32	2	16352	6,0,8,31	95e591f5cb1aa1f5
U+2502	30	40	2	20440	13,0,15,39	19bafafce64df013
U+2502	45	60	3	45900	21,0,23,59	3f4028b4905395c8
U+2503	5	9	1	6885	1,0,3,8	a5f21778bf35473e
U+2503	8	16	1	12240	2,0,4,15	440e3c8fa022ecbd
U+2503	15	31	2	47461	4,0,10,30	3bf523d8a0294d32
U+2503	16	32	2	48992	4,0,10,31	0342d037905309f5
U+2503	30	40	2	61240	11,0,17,39	4992ea326b08b093
U+2503	45	60	3	137700	18,0,26,59	a9c808529a66b738
U+2504	5	9	1	837	0,4,4,4	e8ee5a2f602063d8
U+2504	8	16	1	1356	0,7,7,7	ecab9b1d5110a651
U+2504	15	31	2	5486	0,14,13,16	3f1cab2cda9441f9
U+2504	16	32	2	5486	0,14,14,16	c8990a7ec16f5935
U+2504	30	40	2	10844	0,18,26,20	273d2537dbe6100f
U+2504	45	60	3	22575	0,28,39,30	1fcf09bcb4d3673b
U+250C	5	9	1	1721	2,4,4,8	585bb5d25f06c6ac
U+250C	8	16	1	3251	3,7,7,15	a9b6aa814420497c
U+250C	15	31	2	11745	6,14,14,30	12954205769378fe
U+250C	16	32	2	12766	6,14,15,31	be3b683904f54135
U+250C	30	40	2	18380	13,18,29,39	b9298171559cee83
U+250C	45	60	3	40545	21,28,44,59	767334982b88b999
U+250F	5	9	1	5355	1,3,4,8	0c1857a39a640f68
U+250F	8	16	1	9945	2,6,7,15	8734cab043bb70a6
U+250F	15	31	2	35203	4,12,14,30	f0d0f5c2067b1bf0
U+250F	16	32	2	38264	4,12,15,31	91eccfdb377945f5
U+250F	30	40	2	55098	11,16,29,39	a923b82ce77c2dff
U+250F	45	60	3	121635	18,25,44,59	2ffbd871b4b88d0d
U+251C	5	9	1	2805	2,0,4,8	4251a725ca27d6d8
U+251C	8	16	1	5100	3,0,7,15	4ce8f739eea36819
U+251C	15	31	2	19155	6,0,14,30	6a498cbfb32b6f9c
U+251C	16	32	2	20176	6,0,15,31	b9f45325cf8b8675
U+251C	30	40	2	27834	13,0,29,39	1e28fe0b3465ccdb
U+251C	45	60	3	61965	21,0,44,59	01e988c7699a9ae5
U+253C	5	9	1	3315	0,0,4,8	449954afbea0e066
U+253C	8	16	1	5865	0,0,7,15	e3e7819e26e19a58
U+253C	15	31	2	22469	0,0,14,30	d96b379a9d75550e
U+253C	16	32	2	23490	0,0,15,31	5fbd96c5371b1395
U+253C	30	40	2	34718	0,0,29,39	642dfa37dcb7b11f
U+253C	45	60	3	78030	0,0,44,59	9ed05fee1de94cd8
U+254B	5	9	1	8415	0,0,4,8	49e72d2a9748d756
U+254B	8	16	1	16065	0,0,7,15	b0e9aeaec6185434
U+254B	15	31	2	61225	0,0,14,30	5806f70ebcad241a
U+254B	16	32	2	64286	0,0,15,31	a912c6ddc0d035d5
U+254B	30	40	2	97954	0,0,29,39	1062013350cb4117
U+254B	45	60	3	220320	0,0,44,59	74e73657d850a93c
U+251D	5	9	1	3825	2,0,4,8	d29ed34e832c9064
U+251D	8	16	1	7140	3,0,7,15	b345d569ba542d61
U+251D	15	31	2	25783	6,0,14,30	7c523654c1924f78
U+251D	16	32	2	27824	6,0,15,31	fdcb49272ac3f575
U+251D	30	40	2	42622	13,0,29,39	8d648598b137aaeb
U+251D	45	60	3	94095	21,0,44,59	4e88908b22e5230d
U+2550	5	9	1	2550	0,3,4,5	31fac09ae4756f13
U+2550	8	16	1	4080	0,6,7,8	6946c66ccb2ef2ad
U+2550	15	31	2	15300	0,12,14,18	d1569ff1617dd57b
U+2550	16	32	2	16320	0,12,15,18	c2bdbe06e0eeaab5
U+2550	30	40	2	30600	0,16,29,22	ea09d6794798d97b
U+2550	45	60	3	68850	0,25,44,33	c46cb545d233f58c
U+256C	5	9	1	4844	0,0,4,8	53f30fe6ec6cefab
U+256C	8	16	1	9944	0,0,7,15	240682a8378aba05
U+256C	15	31	2	38814	0,0,14,30	7771b5431fb905ef
U+256C	16	32	2	40856	0,0,15,31	1199203484580755
U+256C	30	40	2	63312	0,0,29,39	18b394276f4114e3
U+256C	45	60	3	142290	0,0,44,59	3bbf5befd7d1ea9c
U+256D	5	9	1	1440	2,4,4,8	1109b17dcd78a5b9
U+256D	8	16	1	2761	3,7,7,15	d8745bebf3bfdeaa
U+256D	15	31	2	10644	6,14,14,30	9880d2ff94bf84f7
U+256D	16	32	2	11681	6,14,15,31	245631707971f712
U+256D	30	40	2	16657	13,18,29,39	d1da6a9fa12f7da4
U+256D	45	60	3	37065	21,28,44,59	f15f28faa7ed0875
U+2573	5	9	1	4123	0,0,4,8	a449c62c62f046da
U+2573	8	16	1	7842	0,0,7,15	aad86289cddcf119
U+2573	15	31	2	32609	0,0,14,30	4972773e07c6e63a
U+2573	16	32	2	34212	0,0,15,31	cb0b3f682396986d
U+2573	30	40	2	48924	0,0,29,39	362c405f3642978b
U+2573	45	60	3	110068	0,0,44,59	1040e77f88d218c0
U+2580	5	9	1	6375	0,0,4,4	69c5d24db646a6ba
U+2580	8	16	1	16320	0,0,7,7	f34db04f8700117d
U+2580	15	31	2	61200	0,0,14,15	46cd8e51b284f94f
U+2580	16	32	2	65280	0,0,15,15	c8e7a9e938be5ef5
U+2580	30	40	2	153000	0,0,29,19	aee6b2360f0c3d5b
U+2580	45	60	3	344250	0,0,44,29	784be874e21b7b96
U+2588	5	9	1	11475	0,0,4,8	71fe00e4166b5906
U+2588	8	16	1	32640	0,0,7,15	6985466b1b1bab3d
U+2588	15	31	2	118575	0,0,14,30	b9f4edeac344b09e
U+2588	16	32	2	130560	0,0,15,31	ffd2c7e6a0b8a7f5
U+2588	30	40	2	306000	0,0,29,39	072c7943828f3783
U+2588	45	60	3	688500	0,0,44,59	c9ed7ee319c5f788
U+2591	5	9	1	2880	0,0,4,8	7cbc27480431a82b
U+2591	8	16	1	8192	0,0,7,15	d45ea7013a04bbbd
U+2591	15	31	2	29760	0,0,14,30	77eb98ebf6c5855f
U+2591	16	32	2	32768	0,0,15,31	b0403befe97415f5
U+2591	30	40	2	76800	0,0,29,39	b79a583b3c760333
U+2591	45	60	3	172800	0,0,44,59	2945c2a76f86f4b4
U+2592	5	9	1	5760	0,0,4,8	54d7bdf9398f396b
U+2592	8	16	1	16384	0,0,7,15	226722482f76bbbd
U+2592	15	31	2	59520	0,0,14,30	82faa051f2f3f59f
U+2592	16	32	2	65536	0,0,15,31	19557c8bb94815f5
U+2592	30	40	2	153600	0,0,29,39	9bfe1ec83704c033
U+2592	45	60	3	345600	0,0,44,59	92a52fb87a1f5db4
U+2593	5	9	1	8595	0,0,4,8	5a8f56d5ff9beac6
U+2593	8	16	1	24448	0,0,7,15	e79cec1c3940e73d
U+2593	15	31	2	88815	0,0,14,30	36be00293b228ade
U+2593	16	32	2	97792	0,0,15,31	c092cde21a9aa7f5
U+2593	30	40	2	229200	0,0,29,39	d5bfbf38c4cd9a03
U+2593	45	60	3	515700	0,0,44,59	f77a2b072f831f08
U+259A	5	9	1	5865	0,0,4,8	0f12ce40436704ac
U+259A	8	16	1	16320	0,0,7,15	9edf6ac184a1e97d
U+259A	15	31	2	59415	0,0,14,30	f3759caf0936dcc6
U+259A	16	32	2	65280	0,0,15,31	eeb26cc9c12622f5
U+259A	30	40	2	153000	0,0,29,39	8c021e528f066273
U+259A	45	60	3	344250	0,0,44,59	32bd00e32fd4300a
U+1FB0B	5	9	1	3825	0,3,4,5	9666c86f4c01936a
U+1FB0B	8	16	1	12240	0,5,7,10	b0f0c737672a438d
U+1FB0B	15	31	2	42075	0,10,14,20	b194bddb61ef6472
U+1FB0B	16	32	2	40800	0,11,15,20	086f7a718d685755
U+1FB0B	30	40	2	107100	0,13,29,26	ebb831d18fcce50f
U+1FB0B	45	60	3	229500	0,20,44,39	ce8643f0bcdc8450
U+1CD00	5	9	1	2295	0,2,2,4	fc1ba1993ca5955a
U+1CD00	8	16	1	4080	0,4,3,7	857bac33fb99612d
U+1CD00	15	31	2	16320	0,8,7,15	2b7be8e90583579f
U+1CD00	16	32	2	16320	0,8,7,15	1ad4e557c4c071b5
U+1CD00	30	40	2	38250	0,10,14,19	01cf9525e0b218db
U+1CD00	45	60	3	87975	0,15,22,29	1c3b039ff276b0f9
U+2814	5	9	1	799	0,2,4,6	9eb4928b4ada1f0a
U+2814	8	16	1	2040	1,5,6,10	b5139f817ef2a785
U+2814	15	31	2	7176	2,9,13,21	61b5da68812334e7
U+2814	16	32	2	8160	2,10,13,21	6c80703fc9f6e7d5
U+2814	30	40	2	28702	3,11,26,28	c62043d4840165e9
